id,task,status,priority,notes,phase
98c,Frontend - nav by permission,done,medium,"depends on #98b | done: login/authenticated-layout/nav-by-permission/session-handling implemented in frontend/admin-web, verified via npm run build + npm run lint (both green) and route/redirect smoke test (dev server + curl: /login renders, /dashboard redirects when unauthenticated, unimplemented module routes 404 as expected); real admin auth backend (tasks 94-97: AdminAuthController/AdminTokenService/admin_user table) is not present on this worktree despite being expected, so a live end-to-end login round-trip against AdminApi was not possible (AdminApi also fails to boot here - JwtOptions/SandboxGatewayOptions secrets unconfigured); wire-up point is POST /api/v1/admin/auth/login in src/app/login/page.tsx",Phase 6 - Admin Panel
98d,Frontend - session handling in admin-web (SRS 25.2),done,medium,"depends on #98c | done: login/authenticated-layout/nav-by-permission/session-handling implemented in frontend/admin-web, verified via npm run build + npm run lint (both green) and route/redirect smoke test (dev server + curl: /login renders, /dashboard redirects when unauthenticated, unimplemented module routes 404 as expected); real admin auth backend (tasks 94-97: AdminAuthController/AdminTokenService/admin_user table) is not present on this worktree despite being expected, so a live end-to-end login round-trip against AdminApi was not possible (AdminApi also fails to boot here - JwtOptions/SandboxGatewayOptions secrets unconfigured); wire-up point is POST /api/v1/admin/auth/login in src/app/login/page.tsx",Phase 6 - Admin Panel
99,Dashboard - Dashboard KPIs: Bookings/revenue/cancellations/refunds/tickets widgets with date-city-category filters; API + UI (SRS 12.3),done,medium,"depends on #96d #60c | verified: dotnet build/test pass (604/604, 0 regressions vs 597 baseline); DashboardController (dashboard.read policy) + DashboardQueryService query Booking/PaymentTransaction/BookingCancellation/RefundTransaction/SupportTicket via NestlyDbContext, filterable by date range/city/category; covered by DashboardQueryServiceTests (7 tests)",Phase 6 - Admin Panel
100,Dashboard - Dashboard UI: KPI widgets and filters in admin-web,done,medium,"depends on #98d #99 | verified: npm run build and npm run lint both exit 0; dashboard/page.tsx replaced with KPI stat tiles (bookings/revenue/cancellations/refunds/open tickets) + date-range presets/custom range/city/category filters, calling task 99 API; also fixed a pre-existing permission-code mismatch in lib/permissions.ts (module:view placeholder vs the real dashboard.read-style codes task 96a/96c actually issue)",Phase 6 - Admin Panel
101,CustomerMgmt - Customer management APIs: Search/filter; 360 detail (bookings; wallet; coupons; tickets); block/unblock; notes (SRS 12.4),decomposed,medium,"depends on #96d #28 | superseded: decomposed into subtasks 101a,101b,101c,101d",Phase 6 - Admin Panel
101a,CustomerMgmt - Search/filter,done,medium,depends on #96d #28,Phase 6 - Admin Panel
101b,CustomerMgmt - 360 detail (bookings; wallet; coupons; tickets),done,medium,depends on #101a,Phase 6 - Admin Panel
101c,CustomerMgmt - block/unblock,done,medium,depends on #101b,Phase 6 - Admin Panel
101d,CustomerMgmt - notes (SRS 12.4),done,medium,depends on #101c,Phase 6 - Admin Panel
102,CustomerMgmt - Customer management UI: Customer list and detail screens with authorized actions,done,medium,depends on #98d #101d,Phase 6 - Admin Panel
103,Catalog - Category management APIs: CRUD; ordering; media; SEO fields; activation with audit (SRS 12.5),decomposed,medium,"depends on #96d #40e #20 | superseded: decomposed into subtasks 103a,103b,103c,103d,103e",Phase 6 - Admin Panel
103a,Catalog - CRUD,done,medium,depends on #96d #40e #20,Phase 6 - Admin Panel
103b,Catalog - ordering,done,medium,depends on #103a,Phase 6 - Admin Panel
103c,Catalog - media,done,medium,depends on #103b,Phase 6 - Admin Panel
103d,Catalog - SEO fields,done,medium,depends on #103c,Phase 6 - Admin Panel
103e,Catalog - activation with audit (SRS 12.5),done,medium,depends on #103d,Phase 6 - Admin Panel
104,Catalog - Category management UI: Category list/create/edit screens,done,medium,depends on #98d #103e,Phase 6 - Admin Panel
105,Catalog - Service management APIs: Service/package CRUD with full field set and service-level flags (SRS 12.6),done,medium,depends on #103e,Phase 6 - Admin Panel
106,Catalog - Service management UI: Service list/create/edit screens,done,medium,depends on #104 #105,Phase 6 - Admin Panel
107,Catalog - Add-on management APIs: Add-on CRUD + service mapping (SRS 12.7),done,medium,depends on #105,Phase 6 - Admin Panel
108,Catalog - Add-on management UI: Add-on list/create/edit screens,done,medium,depends on #106 #107,Phase 6 - Admin Panel
109,Pricing - Pricing management APIs: Base/add-on/city/promotional pricing; taxes; fees; effective dates; price change audit (SRS 12.8),decomposed,medium,"depends on #96d #47g #20 | superseded: decomposed into subtasks 109a,109b,109c,109d,109e",Phase 6 - Admin Panel
109a,Pricing - Base/add-on/city/promotional pricing,done,medium,"depends on #96d #47g #20 | done: admin CRUD over Service.Price/ServiceAddOn.Price (base/add-on), real ServiceCityPrice entity (city-wise), new PromotionalPrice entity (promotional, nullable city scope) - PricingController/PricingManagementService, gated pricing.read/write",Phase 6 - Admin Panel
109b,Pricing - taxes,done,medium,"depends on #109a | done: reused existing CityPricingPolicy.TaxPercentage (per-city tax rate, no new table needed) via PricingController policies endpoints",Phase 6 - Admin Panel
109c,Pricing - fees,done,medium,"depends on #109b | done: reused existing CityPricingPolicy.VisitCharge/PlatformFee (visit charge + platform/convenience fee, no new table needed) via same policies upsert endpoint",Phase 6 - Admin Panel
109d,Pricing - effective dates,done,medium,depends on #109c | done: added EffectiveStartDate/EffectiveEndDate (nullable end) to ServiceCityPrice via migration AddPricingManagement; PromotionalPrice has StartDate/EndDate from creation,Phase 6 - Admin Panel
109e,Pricing - price change audit (SRS 12.8),done,medium,"depends on #109d | done: PricingManagementService writes an IAuditLogWriter entry (before/after JSON) for every price/tax/fee create-update-activate-deactivate, staged into the same DbContext SaveChangesAsync as the business write, matching SystemSettingsService's pattern",Phase 6 - Admin Panel
110,Pricing - Pricing management UI: Pricing list/edit screens,done,medium,"depends on #98d #109e | done: frontend/admin-web/src/app/(admin)/pricing/ - base/add-on/city/promotional price sections + tax-fee policy section, gated by canWriteModule('pricing'), npm run build/lint pass",Phase 6 - Admin Panel
111,Serviceability - Serviceability management APIs: Geography master CRUD + category/service serviceability mapping + suspensions (SRS 12.9),done,medium,"depends on #96d #43 | completed: GeographyController (state/city/zone/locality/pincode CRUD - create/rename/activate/deactivate; pincode has no rename, only activate/deactivate, matching Pincode.cs) + ServiceabilityMappingsController (category-city and service-pincode mapping create/activate/deactivate, plus category/service lookup endpoints for the admin UI pickers). New repos: IStateRepository, ICityRepository, IZoneRepository, ILocalityRepository, IPincodeRepository, ICategoryCityMappingRepository, IServicePincodeMappingRepository. Services: IGeographyManagementService, IServiceabilityMappingManagementService (re-activates a suspended mapping instead of erroring on the unique-index conflict when re-created). No migration needed - task 43 already mapped the Geography/Serviceability schema into the DB model. Routes under api/v1/admin/geography and api/v1/admin/serviceability-mappings, gated behind serviceability.read/serviceability.write (AdminPermissionCatalog). 21 new tests (GeographyManagementServiceTests, ServiceabilityMappingManagementServiceTests), full suite 612/612 pass.",Phase 6 - Admin Panel
112,Serviceability - Serviceability management UI: Geography and mapping configuration screens,done,medium,"depends on #98d #111 | completed: frontend/admin-web/src/app/(admin)/serviceability/page.tsx (geography master: states/cities/zones/localities/pincodes, each with list+create+activate/deactivate) and serviceability/mappings/page.tsx (category-city + service-pincode mapping config), gated by serviceability.read (nav visibility, fixed a pre-existing lib/permissions.ts bug where requiredPermission used a stale module:view shape that never matched the real module.read/module.write codes AdminPermissionCatalog issues once task 96a-c landed) and serviceability.write (mutating controls hidden via new canWriteModule helper). Uses react-query (already wired in providers.tsx, unused until now) for data/mutations. npm run build and npm run lint both exit 0.",Phase 6 - Admin Panel
113,Slots - Slot configuration APIs: Slot windows; blackouts; cutoffs; capacity; availability overrides (SRS 12.10),decomposed,medium,"depends on #96d #45d | superseded: decomposed into subtasks 113a,113b,113c,113d,113e",Phase 6 - Admin Panel
113a,Slots - Slot windows,done,medium,depends on #96d #45d,Phase 6 - Admin Panel
113b,Slots - blackouts,done,medium,depends on #113a,Phase 6 - Admin Panel
113c,Slots - cutoffs,done,medium,depends on #113b,Phase 6 - Admin Panel
113d,Slots - capacity,done,medium,depends on #113c,Phase 6 - Admin Panel
113e,Slots - availability overrides (SRS 12.10),done,medium,depends on #113d,Phase 6 - Admin Panel
114,Slots - Slot configuration UI: Slot rule and override screens,done,medium,depends on #98d #113e,Phase 6 - Admin Panel
115a,BookingMgmt - Booking list API with filterable search,done,medium,"depends on #96d #60c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
115b,BookingMgmt - Booking detail API with snapshots and timeline,done,medium,"depends on #115a| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
115c,BookingMgmt - Booking status timeline and full history,done,medium,"depends on #115b| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
115d,BookingMgmt - Admin status update and action APIs,done,medium,"depends on #115c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
116,BookingMgmt - Booking management UI: Booking list and detail screens with authorized actions,done,medium,"depends on #98d #115d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
117,BookingMgmt - Admin cancel/reschedule/refund operations: Admin-initiated cancellation; reschedule; full/partial refund with permission checks and audit (SRS 12.11.3; 12.13.2),decomposed,medium,"depends on #115d #80c #82d #75d | auto-blocked: depends on blocked task #80 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 117a,117b,117c",Phase 6 - Admin Panel
117a,BookingMgmt - Admin-initiated cancellation,done,medium,"depends on #115d #80c #82d #75d| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
117b,BookingMgmt - reschedule,done,medium,depends on #117a,Phase 6 - Admin Panel
117c,BookingMgmt - full/partial refund with permission checks and audit (SRS 12.11.3; 12.13.2),done,medium,depends on #117b,Phase 6 - Admin Panel
118,Coupons - Coupon management APIs: Coupon CRUD with all rule dimensions + redemption reporting (SRS 12.12),done,medium,"Coupon CRUD (Coupon.cs's real field set: discount type/value, max discount cap, min order amount, validity window, global/per-customer usage limits, applicable category, first/repeat-order segment, active status) via ICouponManagementService/CouponManagementService + CouponsController, gated behind coupons.read/coupons.write; redemption reporting aggregates CouponRedemption (redemptions, discount total, unique customers) via GetRedemptionReportAsync. No schema changes - built against the existing Coupon/CouponRedemption entities. Verified via dotnet build (0 errors) + dotnet test (661/661, incl. 11 new CouponManagementServiceTests).",Phase 6 - Admin Panel
119,Coupons - Coupon management UI: Coupon list/create/edit + redemption stats screens,done,medium,"Coupon list/create/edit + redemption stats screens in frontend/admin-web/src/app/(admin)/coupons/ (page.tsx manage screen, redemptions/page.tsx report screen, _components/CouponForm.tsx, CouponsTable.tsx, CouponsTabs.tsx) plus lib/coupon-api.ts + lib/coupon-types.ts. Gated behind coupons.read/coupons.write via canWriteModule; nav entry already existed in permissions.ts. Verified via npm run build + npm run lint (both clean).",Phase 6 - Admin Panel
120,Support - Support ticket management: Ticket workflow: assign; respond; escalate; resolve; link booking actions; API + UI (SRS 12.14; 16.2),decomposed,medium,"depends on #96d #86d | superseded: decomposed into subtasks 120a,120b,120c,120d,120e,120f",Phase 6 - Admin Panel
120a,Support - Ticket workflow: assign,done,medium,depends on #96d #86d,Phase 6 - Admin Panel
120b,Support - respond,done,medium,depends on #120a,Phase 6 - Admin Panel
120c,Support - escalate,done,medium,depends on #120b,Phase 6 - Admin Panel
120d,Support - resolve,done,medium,depends on #120c,Phase 6 - Admin Panel
120e,Support - link booking actions,done,medium,depends on #120d,Phase 6 - Admin Panel
120f,Support - API + UI (SRS 12.14; 16.2),done,medium,depends on #120e,Phase 6 - Admin Panel
121,Support - Support ticket UI: Ticket list/detail workflow screens,done,medium,depends on #98d #120f,Phase 6 - Admin Panel
122,Reviews - Review moderation: Hide/unhide/flag/export reviews retaining originals for audit; API + UI (SRS 12.15 and 17.2),done,medium,"depends on #96d #85c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
123,Reviews - Review moderation UI: Moderation screen with filters,done,medium,"depends on #98d #122| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
124,CMS - CMS schema and APIs: Tables + CRUD: cms_page; banner; faq with draft/publish; scheduling; media; placement (SRS 12.16; 18),decomposed,medium,"depends on #96d #9c | superseded: decomposed into subtasks 124a,124b,124c,124d,124e,124f",Phase 6 - Admin Panel
124a,CMS - Tables + CRUD: cms_page,done,medium,depends on #96d #9c,Phase 6 - Admin Panel
124b,CMS - banner,done,medium,depends on #124a,Phase 6 - Admin Panel
124c,CMS - faq with draft/publish,done,medium,depends on #124b,Phase 6 - Admin Panel
124d,CMS - scheduling,done,medium,depends on #124c,Phase 6 - Admin Panel
124e,CMS - media,done,medium,depends on #124d,Phase 6 - Admin Panel
124f,CMS - placement (SRS 12.16; 18),done,medium,depends on #124e,Phase 6 - Admin Panel
125,CMS - CMS management UI: Banner; page; FAQ management screens,decomposed,medium,"depends on #98d #124f | superseded: decomposed into subtasks 125a,125b,125c",Phase 6 - Admin Panel
125a,CMS - Banner,done,medium,depends on #98d #124f,Phase 6 - Admin Panel
125b,CMS - page,done,medium,depends on #125a,Phase 6 - Admin Panel
125c,CMS - FAQ management screens,done,medium,depends on #125b,Phase 6 - Admin Panel
126,Notifications - Notification template management: Channel-specific templates with variables; preview/test; change audit; API + UI (SRS 12.17),decomposed,medium,"depends on #96d #87d | auto-blocked: depends on blocked task #87d | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 126a,126b,126c,126d",Phase 6 - Admin Panel
126a,Notifications - Channel-specific templates with variables,done,medium,"depends on #96d #87d | auto-blocked: depends on blocked task #87d | unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
126b,Notifications - preview/test,done,medium,depends on #126a,Phase 6 - Admin Panel
126c,Notifications - change audit,done,medium,depends on #126b,Phase 6 - Admin Panel
126d,Notifications - API + UI (SRS 12.17),done,medium,depends on #126c,Phase 6 - Admin Panel
127,Notifications - Notification template UI: Template editor and preview screens,done,medium,"depends on #98d #126d | auto-blocked: depends on blocked task #126 | unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
128a,Reports - Booking and revenue reports with CSV export,done,medium,"done: booking + revenue report (GET /admin/reports/booking-revenue + /export) via ReportingQueryService, reusing Booking/PaymentTransaction aggregates (DashboardQueryService cross-aggregate pattern); revenue = successful payments, not booking totals. Verified via ReportingQueryServiceTests; dotnet build/test 769/769, 0 regressions vs 743 baseline.",Phase 6 - Admin Panel
128b,Reports - Refund and coupon usage reports,done,medium,"done: refund report (GET /admin/reports/refunds + /export) and coupon usage report grouped by coupon (GET /admin/reports/coupon-usage + /export), both in ReportingQueryService. Covered by ReportingQueryServiceTests.",Phase 6 - Admin Panel
128c,Reports - Customer segmentation and support reports,done,medium,"done: customer segmentation (by status/city, GET /admin/reports/customer-segmentation + /export) and support ticket volume/resolution-time report (GET /admin/reports/support-tickets + /export), reusing Customer/SupportTicket aggregates. Covered by ReportingQueryServiceTests.",Phase 6 - Admin Panel
128d,Reports - Permission-gated async export queue,done,medium,"done: permission-gated async export queue (ExportJob entity + export_job table via migration 20260731182615_AddExportJob, applied to nestly-postgres-1) - POST /admin/reports/exports (reports.write) enqueues a Hangfire job (IExportJobService.ProcessAsync, the first real Hangfire job in the codebase), GET /admin/reports/exports/{id} polls status, GET .../download fetches the completed CSV, scoped to the requesting admin. Covered by ExportJobServiceTests (5 tests).",Phase 6 - Admin Panel
129,Reports - Reports UI: Report screens with filters and export actions,done,medium,"done: Reports UI at frontend/admin-web/src/app/(admin)/reports/ - shared date-range filter, per-report summary + CSV export buttons for 128a-c, and an async export request/poll/download panel for 128d gated on reports.write; nav entry already existed in permissions.ts. Verified via npm run build + npm run lint (both clean).",Phase 6 - Admin Panel
130,Audit - Audit log viewer: Filterable audit trail screen + API (SRS 12.19 audit scope per SRS 21),done,medium,depends on #96d #20,Phase 6 - Admin Panel
131,Settings - System configuration: Config/feature-flag management: booking; slot; cancellation; reschedule; tax; wallet; coupon settings; API + UI (SRS 12.19),decomposed,medium,"depends on #96d | superseded: decomposed into subtasks 131a,131b,131c,131d,131e,131f,131g,131h",Phase 6 - Admin Panel
131a,Settings - Config/feature-flag management: booking,done,medium,depends on #96d,Phase 6 - Admin Panel
131b,Settings - slot,done,medium,depends on #131a,Phase 6 - Admin Panel
131c,Settings - cancellation,done,medium,depends on #131b,Phase 6 - Admin Panel
131d,Settings - reschedule,done,medium,depends on #131c,Phase 6 - Admin Panel
131e,Settings - tax,done,medium,depends on #131d,Phase 6 - Admin Panel
131f,Settings - wallet,done,medium,depends on #131e,Phase 6 - Admin Panel
131g,Settings - coupon settings,done,medium,depends on #131f,Phase 6 - Admin Panel
131h,Settings - API + UI (SRS 12.19),done,medium,depends on #131g,Phase 6 - Admin Panel
132,QA - Admin and RBAC test suite: Permission matrix coverage; admin workflows; audit assertions,decomposed,medium,"depends on #97d #117c | auto-blocked: depends on blocked task #117 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 132a,132b,132c",Phase 6 - Admin Panel
132a,QA - Permission matrix coverage,done,medium,"depends on #97d #117c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 6 - Admin Panel
132b,QA - admin workflows,done,medium,depends on #132a,Phase 6 - Admin Panel
132c,QA - audit assertions,done,medium,depends on #132b,Phase 6 - Admin Panel
133,Security - Application security review: OWASP pass: injection; XSS; CSRF; IDOR; broken access control; payment callback abuse; OTP brute force (SRS 28.3),decomposed,critical,"depends on #79d #132c | auto-blocked: depends on blocked task #132 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 133a,133b,133c,133d,133e,133f,133g",Phase 8 - Hardening & Launch
133a,Security - OWASP pass: injection,done,critical,"depends on #79d #132c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 8 - Hardening & Launch
133b,Security - XSS,done,critical,depends on #133a,Phase 8 - Hardening & Launch
133c,Security - CSRF,done,critical,depends on #133b,Phase 8 - Hardening & Launch
133d,Security - IDOR,done,critical,depends on #133c,Phase 8 - Hardening & Launch
133e,Security - broken access control,done,critical,depends on #133d,Phase 8 - Hardening & Launch
133f,Security - payment callback abuse,done,critical,depends on #133e,Phase 8 - Hardening & Launch
133g,Security - OTP brute force (SRS 28.3),done,critical,depends on #133f,Phase 8 - Hardening & Launch
134,Security - Rate limiting rollout: Rate limits on auth/OTP/search/payment endpoints (SRS 28.1),done,critical,"depends on #133g | draft rate_limiting_service.cs salvaged to _salvage/auth-otp-drafts/| unblocked: manual reset, dependency gate re-checked at runtime",Phase 8 - Hardening & Launch
135,Performance - Load and performance testing: Catalog browse; checkout; concurrent slot booking under promotion-level traffic (SRS 29.1-29.2),decomposed,medium,"depends on #66c | auto-blocked: depends on blocked task #66 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 135a,135b,135c",Phase 8 - Hardening & Launch
135a,Performance - Catalog browse,done,medium,"depends on #66c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 8 - Hardening & Launch
135b,Performance - checkout,done,medium,depends on #135a,Phase 8 - Hardening & Launch
135c,Performance - concurrent slot booking under promotion-level traffic (SRS 29.1-29.2),done,medium,depends on #135b,Phase 8 - Hardening & Launch
136,Performance - Query optimization pass: Execution plan review; index tuning; pagination audits on hot paths (DATABASE.md),decomposed,medium,"depends on #135c | auto-blocked: depends on blocked task #135 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 136a,136b,136c",Phase 8 - Hardening & Launch
136a,Performance - Execution plan review,done,medium,"depends on #135c| unblocked: manual reset, dependency gate re-checked at runtime",Phase 8 - Hardening & Launch
136b,Performance - index tuning,done,medium,depends on #136a,Phase 8 - Hardening & Launch
136c,Performance - pagination audits on hot paths (DATABASE.md),done,medium,depends on #136b,Phase 8 - Hardening & Launch
137,Observability - Metrics and alerting: Metrics export + alerts for payment; booking; notification failures (SRS 29.6; DEVOPS.md),decomposed,medium,"depends on #10 #88g | auto-blocked: depends on blocked task #88 | unblocked: manual reset, dependency gate re-checked at runtime | superseded: decomposed into subtasks 137a,137b,137c",Phase 8 - Hardening & Launch
137a,Observability - Metrics export + alerts for payment,done,medium,"depends on #10 #88g| unblocked: manual reset, dependency gate re-checked at runtime",Phase 8 - Hardening & Launch
137b,Observability - booking,done,medium,depends on #137a,Phase 8 - Hardening & Launch
137c,Observability - notification failures (SRS 29.6; DEVOPS.md),done,medium,depends on #137b,Phase 8 - Hardening & Launch
138,DevOps - CD pipeline and environments: Staging auto-deploy from develop; production deploy from main with approval; migration step; rollback (DEVOPS.md),decomposed,medium,"reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 138a,138b,138c,138d",Phase 8 - Hardening & Launch
138a,DevOps - Staging auto-deploy from develop,done,medium,"reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | done: workflow .github/workflows/cd-staging.yml - push to develop triggers dotnet build+test gate, then builds/pushes consumer-api/admin-api/provider-api images to ghcr.io (GHCR chosen as default registry - DEVOPS.md's registry OPEN DECISION unresolved, needs no new secret), then deploys via GitHub Environment `staging` (SSH + deploy/docker-compose.deploy.yml). No real staging host exists yet (documented in workflow header) - deploy step will fail on missing secrets until STAGING_* secrets are configured, which is expected.",Phase 8 - Hardening & Launch
138b,DevOps - production deploy from main with approval,done,medium,"depends on #138a | done: workflow .github/workflows/cd-production.yml - push to main, same build/test gate, deploys via GitHub Environment `production`. Required reviewers approval gate documented in workflow comments as a repo-settings action (Settings > Environments > production > Required reviewers) since it is not expressible in YAML; environment: production on both migrate and deploy jobs so the protection rule applies once configured.",Phase 8 - Hardening & Launch
138c,DevOps - migration step,done,medium,"depends on #138b | done: explicit `dotnet ef database update` step (via database/scripts/apply-migrations.sh) added as its own job in both cd-staging.yml and cd-production.yml, running after image build/push and before the deploy job, so migrations always land before new code depends on them. Also wired into rollback.yml for symmetry (optional target_migration input).",Phase 8 - Hardening & Launch
138d,DevOps - rollback (DEVOPS.md),done,medium,"depends on #138c | done: .github/workflows/rollback.yml - workflow_dispatch with environment/image_tag/target_migration inputs; redeploys a specified prior image tag via the same SSH+compose deploy path (no rebuild); environment: ${{ inputs.environment }} so production rollback still requires the same reviewer approval as a normal deploy. Migration rollback documented honestly in the workflow's header comment: EF Core Down() migrations genuinely work via `dotnet ef database update <name>` and are wired as an opt-in step, but are only safe when every intervening migration's Down() is lossless - default guidance is redeploy-app + forward-fix rather than a fabricated automatic DB rollback.",Phase 8 - Hardening & Launch
139,DevOps - Backup and restore procedure: Automated PostgreSQL backups + documented tested restore drill,done,medium,"depends on #138d | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | done: database/scripts/backup-postgres.sh (pg_dump -Fc, env-var configured, optional S3 upload via BACKUP_S3_BUCKET, local retention pruning) + database/scripts/restore-postgres.sh (pg_restore --clean --if-exists into a target db, creates it if missing) + .github/workflows/backup-postgres.yml (daily 02:00 UTC cron against production, falls back to workflow-artifact upload with an explicit non-durable disclaimer until a real storage target is chosen) + docs/RUNBOOK-BACKUP-RESTORE.md. Restore drill actually executed against the local docker-compose Postgres (nestly-postgres-1): backed up the real `nestly` db (204390 bytes), restored into a throwaway `nestly_restore_test` db, verified all 74 tables' exact row counts identical (diff clean), md5-checksummed full row content on the two populated business tables (notification_template, role_permission_mapping) - identical - and confirmed pg_constraint count (148) matched source vs restored, i.e. schema/FKs/indexes restored faithfully too. Test db dropped and drill files removed afterward.",Phase 8 - Hardening & Launch
140a,QA - E2E: Discovery to category to service detail flows,done,medium,"done: frontend/customer-web/e2e/140a-discovery.spec.ts, real Playwright/Chromium against a real backend (see e2e/README.md). Run surfaced a real bug: no CORS policy existed on any API, so no browser request from any frontend ever worked - fixed via AddNestlyCors in DependencyInjection.cs, wired into all 3 APIs.",Phase 8 - Hardening & Launch
140b,QA - E2E: Slot selection to booking to payment flows,done,medium,"depends on #140a | done: e2e/140b-booking-payment.spec.ts. Run surfaced a real bug: PaymentsController.Simulate returned Ok() (200, empty body) instead of NoContent(), which crashed the frontend's apiFetch (only 204 was handled) - every real sandbox payment attempt in a browser was broken. Fixed to NoContent(), matching this codebase's established no-body-success convention.",Phase 8 - Hardening & Launch
140c,QA - E2E: Cancellation and reschedule flows,done,medium,"depends on #140b | done: e2e/140c-cancel-reschedule.spec.ts, each test creates its own booking since cancel/reschedule are mutually exclusive terminal-ish transitions from Confirmed.",Phase 8 - Hardening & Launch
140d,QA - E2E: Refund and review submission flows,done,medium,"depends on #140c | done: e2e/140d-refund-review.spec.ts. Refund exercised via cancellation (no customer-initiated refund endpoint exists per task 143's refund-visibility decision); review requires a Completed booking, force-set via e2e/setup/force-booking-completed.ts rather than standing up the full provider job-completion chain (out of scope, has its own coverage). Run surfaced a real bug: the review page's reviewQuery returned undefined on a 204 (no review yet), which TanStack Query treats as an error (\data is undefined\"") - crashed the review page for every booking without an existing review. Fixed by normalising to null.""",Phase 8 - Hardening & Launch
141,QA - UAT execution: Business acceptance against SRS 33 acceptance criteria,done,medium,"depends on #140d | done: docs/UAT-REPORT.md - all 16 SRS 33 criteria verified against real evidence (E2E suite runs, live admin-api/consumer-api calls with a real JWT, or the 882-test backend suite), not code inspection alone. 16/16 pass; two non-blocking gaps noted (no admin-web browser E2E, coupon flow not exercised in this E2E pass).",Phase 8 - Hardening & Launch
142,Docs - Deployment runbook: Deploy; rollback; incident response; on-call basics,decomposed,medium,"depends on #138d | reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification | superseded: decomposed into subtasks 142a,142b,142c,142d",Phase 8 - Hardening & Launch
142a,Docs - Deploy,done,medium,"done: docs/RUNBOOK-DEPLOYMENT.md section 142a - normal auto-deploy path (cd-staging.yml/cd-production.yml), preconditions/secrets needed to actually reach a host, and how to verify a deploy landed via health/metrics endpoints",Phase 8 - Hardening & Launch
142b,Docs - rollback,done,medium,"depends on #142a | done: docs/RUNBOOK-DEPLOYMENT.md section 142b - rollback.yml usage, app-rollback-first guidance, opt-in DB rollback with Down()-migration caveat",Phase 8 - Hardening & Launch
142c,Docs - incident response,done,medium,"depends on #142b | done: docs/RUNBOOK-DEPLOYMENT.md section 142c - detection via FailureRateAlertMonitor AlertCodes/metrics/health checks, triage/mitigate/verify/write-up steps referencing existing idempotency guarantees",Phase 8 - Hardening & Launch
142d,Docs - on-call basics,done,medium,"depends on #142c | done: docs/RUNBOOK-DEPLOYMENT.md section 142d - honest scope statement (no paging destination decided yet per DEVOPS.md open decisions), what to have open, DB-incident escalation to the tested backup/restore runbook, required permissions",Phase 8 - Hardening & Launch
143,Product - Resolve SRS open decisions: Close SRS 34 items (cart model; COD; slot capacity; wallet phase; refund visibility; coupon stacking; tax display; reschedule fees; multilingual),done,medium,"done: docs/SRS.md section 34 rewritten - each of the 12 items resolved by auditing what Phases 1-7 actually shipped (multi-service bookings via BookingItem; no COD anywhere in backend; capacity-linked slots via SlotCapacityRepository; wallet enabled task 67/74; partial refunds admin-initiated + customer-visible status via RefundsController; coupon stacking off-by-default via AllowCouponStacking setting; tax display configurable via TaxInclusivePricing setting; reschedule fee via ReschedulePolicyOptions/RescheduleFeeCalculator; provider assignment moved to Phase 7; support tickets full timeline via SupportTicketComment; reviews visible-immediately with post-publish moderation via ReviewModerationService; multilingual not implemented, no locale infra) rather than re-deciding in isolation",Phase 8 - Hardening & Launch
144,Provider - Resolve provider open decisions: Answer PROVIDER.md open decisions (assignment model; company vs individual; payout rails; rating impact),done,low,"reset: previously auto-marked done by unverified local-model automation (build verification was broken - npm run build on a .NET repo, always failed); needs real implementation + dotnet build/test verification",Phase 7 - Provider
